hyp_id,version,source_project,source_commit_or_doc,mechanism,information_set,instrument_session,event_definition,direction,management_and_costs,parameters_and_neighbors,raw_events,effective_events,unique_days,first_binding_failure,additional_failures,disposition,fingerprint_class
MOFAD-C-F12-1,v1,MOFAD-V1,freeze 643343f,overnight aggressor-flow inventory continuation at RTH open,1m full-session flow capture,MNQ open T30,sign of overnight delta ratio,continuation,ATR1.5(1m) stop / T30 open exit / 0.87-1.305pt,frozen; neighbors need250/need350,256,256,256,G05 negative even gross (-1.32),G06-G12 G16 profiles; perm p 0.658,DEAD_FROZEN,INVENTORY_TRANSITION_FLOW
MOFAD-C-F12-1b,v1,MOFAD-V1,freeze 643343f,same signal at T60,1m full-session flow capture,MNQ open T60,sign of overnight delta ratio,continuation,ATR1.5(1m) stop / T60 open exit / 0.87-1.305pt,frozen,256,256,256,G05 negative even gross (-2.87),perm p 0.787,DEAD_FROZEN,INVENTORY_TRANSITION_FLOW
MOFAD-C-F12-2,v1,MOFAD-V1,freeze 643343f,late-premarket aggressor-flow continuation at RTH open,1m flow capture 08:00-09:29,MNQ open T30,sign of preopen delta ratio,continuation,ATR1.5(1m) stop / T30 open exit / 0.87-1.305pt,frozen; neighbors need50/need70,256,256,256,G05 negative even gross (-0.04),retention negative vs price twin; perm p 0.511,DEAD_FROZEN,INVENTORY_TRANSITION_FLOW
MOFAD-C-F08-1,v1,MOFAD-V1,freeze 643343f,side-split rolling price-impact asymmetry drift T15,1m flow capture RTH trailing 60 bars,MNQ RTH T15,|A|>=causal Q75 direction sign(A),drift toward low-impact side,ATR1.5(1m) stop / T15 open exit / 0.87-1.305pt,frozen; neighbors Q70/Q80,2061,2061,253,G05 negative even gross (-0.92); stressed CI fully below 0,monotonically harmful by |A| tercile,DEAD_FROZEN,IMPACT_ASYMMETRY
MOFAD-C-F08-2,v1,MOFAD-V1,freeze 643343f,same state at T30,1m flow capture RTH trailing 60 bars,MNQ RTH T30,|A|>=causal Q75 direction sign(A),drift toward low-impact side,ATR1.5(1m) stop / T30 open exit / 0.87-1.305pt,frozen; neighbors Q70/Q80,1246,1246,252,G05 negative even gross (-2.09); stressed CI fully below 0,wrong-signed (opposite-tail p~0.055 - not claimed),DEAD_FROZEN,IMPACT_ASYMMETRY
VTBS-C1-C4,v1,VTBS-V1,freeze 8dfc2de,day-scale open-anchored volatility-timed bidirectional bracket (monetize magnitude forecast without direction),7.1y 1m OHLCV + causal overnight-range forecast,MNQ RTH daily,first touch of +/-k*base bands from RTH open on HIGH-forecast days,none (market picks side),opposite-band stop / 13:00 or 15:55 exit / 0.87-1.305pt,k in {0.15;0.30} x 2 exits; neighbors k+/-20% Q70/Q80,468 per cell,468,468,G13 unconditional beats HIGH state (forecast adds nothing); C1/C2 also G06-G12; C3/C4 G05,positive residue is long-drift beta (long +11.5 vs short -3.4); BRK-H1 minute-scale relative disclosed pre-freeze,DEAD_FROZEN,BIDIRECTIONAL_RANGE_HARVEST_DAILY
MTF-B1-VTURN-SCALE,v1,MTF-V1,freeze 70ba8de,ordinal V-turn contrast extended to 5/15/30/60m bars (1m parent holdout-confirmed sub-cost),7.1y 1m grid aggregated to T-bars,MNQ all sessions,3 contiguous distinct T-bar closes ordinal motif; ta=lls*next-bar return,last-leg continuation contrast,anomaly cells (no trade translated),T in {5;15;30;60},462k/152k/72k/33k events,per cell,~2200,all four cells p 0.33-0.78 BH q 0.843 - effect is 1m-scale microstructure only,best cell +0.27pt < 0.87 cost and insignificant,DEAD_FROZEN,ORDINAL_PATH_SHAPE
MTF-B2-VWAP-OU,v1,MTF-V1,freeze 70ba8de,VWAP reversion at the measured 106-min OU clock (fade causal q90 extension; 212m exit),7.1y 1m grid + session VWAP,MNQ RTH 631-900,|z|>=trailing-20d q90; fade toward VWAP; stop 2x; exit VWAP/212m/EOD,reversion,next-bar-open entry / 0.87-1.305pt,neighbors q85/q95 exit106/exit318 all negative,1246,1246,818,stressed -3.65pt/trade PF 0.89 negative 7/8 years perm p 0.843,only 28% touch VWAP in 212m; 44% still open at EOD - OU half-life is state-dependent and breaks at extremes,DEAD_FROZEN,PRICE_MEANREV_INTRADAY
MTF-A-MAP,v1,MTF-V1,freeze 70ba8de,multi-scale descriptive map: ACF 5m-240m; daily momentum spectrum k=1-20; cross-scale alignment,7.1y 1m grid aggregates,MNQ,17 frozen cells,descriptive,n/a,frozen,17 cells,-,~2200,0/17 BH q<=0.05 (15m lag1 AC +0.0128 raw-significant only),NQ martingale-flat at every mapped scale,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
NVQ-VOLCLOCK,v1,NVQ-V1,freeze 7c4cad4,volume-clock (event-time) sampling structure: AC and VR on causal volume bars,7.1y 1m grid resampled by trailing-volume targets,MNQ RTH,K in {78;26} volume buckets; AC1/AC2/VR6,descriptive,n/a,frozen,6 cells,-,~1750,0/6 - event-time reveals no structure clock time hid,first and only event-time use,DESCRIPTIVE_ONLY_SPENT,VOLUME_CLOCK_STRUCTURE
NVQ-DAYTYPE-DEAD,v1,NVQ-V1,freeze 7c4cad4,day-type taxonomy direction cells (NR7/WR7/inside/outside/trend-up/inside-NR7/streak3up/streak4plus/trend-dn),daily RTH OHLC from 1m grid,MNQ daily,causal day classification -> next-day c2c,mixed,n/a (anomaly cells),frozen,9 cells,-,~1750,8 null; TREND_DN q 0.067 near-miss agrees with survivor,up-streaks continue (no reversal),DEAD_FROZEN,DAY_TYPE_TAXONOMY
NVQ-STREAK3DN,v1-prospective,NVQ-V1,freeze 7c4cad4 + NVQ_V1_PROSPECTIVE_FREEZE.md,next-day reversal after exactly 3 consecutive down RTH closes,daily RTH closes from 1m grid,MNQ daily c2c,c[t]<c[t-1]<c[t-2]<c[t-3] and c[t-3]>=c[t-4],long reversal,c2c hold / 0.87-1.740pt; translation open->close 0.87-1.305,frozen; no variants permitted while prospective,84,84,84,none binding at anomaly level (BH q 0.0035; 8/8 years positive; both legs significant),n=84 < 200 floor - cannot be full-gate candidate on this sample; prospective freeze scores VALIDATION 2026-09-01+,PASSED_HISTORICAL_EXPLORATORY,DAY_TYPE_TAXONOMY
RMA-MOMENT-CELLS,v1,RMA-V1,freeze 7407f12 + TC1 17aa5c7,variance-composition reversion: downside semivariance share (RSV) and realized skew (SKW) deciles -> fade the side that carried the variance over next 60m,trailing-180m RTH 1m returns; causal 250d decile pools,MNQ RTH 631-871 stamps,"RSV>=q90 L / RSV<=q10 S / SKW<=q10 L / SKW>=q90 S; next-1m-open entry; 3xATR20 stop; 60m exit; 60m non-overlap",both,0.87-1.305pt; stop-first race; gap-through worse,neighbors q85/q95 + delay+1 + exits 45/90m all frozen,10736 evaluations,2502 trades,1831,all 4 cells fail: stressed -3.09/-2.02/+0.55/-3.93 perm p .82/.64/.17/.88 BH q>=0.68; 3 of 4 negative gross,C3 (fade down-jumps) only positive cell but insignificant and 2022-dominated (+10.11 of +0.55; 2026 -9.07); MC not run per protocol (no passer),DEAD_FROZEN,REALIZED_MOMENT_ASYMMETRY
RMA-EXTREME-MAP,v1,RMA-V1,freeze 7407f12,session extreme-time map: distribution of high/low placement by RTH hour split by overnight gap sign,daily RTH 1m grid,MNQ RTH,descriptive proportions of extreme timing,descriptive,n/a,frozen,1831 days,-,1831,"P(low first hour) 0.450 / P(high first hour) 0.371 vs ~0.17 uniform; last hour 0.19/0.29; gap-up low-first 0.442, gap-down high-first 0.358",time-of-day conditioning is spent (CALENDAR_TOD); map ledgered - no directional cell derivable retroactively,DESCRIPTIVE_ONLY_SPENT,PRICE_ONLY_MAP
MTNAD-DHR-INTRADAY,v1,MTNAD-V1,freeze 7deabd8,extreme-refresh age asymmetry (renewal clocks) -> continuation toward the fresh extreme over next 60m; session/rolling-240m/volume-clock scales,ages of extreme-refresh events from 1m grid (wall-time and volume-time),MNQ RTH 631-871 stamps,AR=(Alo-Ahi)/(Alo+Ahi) causal decile tails; next-1m-open entry; 3xATR20 stop; 60m exit,both,0.87-1.305pt; stop-first race; gap-through worse,neighbors q85/q95+q15/q05 delay+1 exits 45/90m all frozen,48762 evaluations,7229 trades,~1800,all 6 cells negative after stressed costs (-0.12 to -1.58) perm p 0.26-0.56 BH q~0.55; 3 negative at base,volume clock adds nothing over wall clock; age asymmetry has no intraday edge at 60m,DEAD_FROZEN,DURATION_HAZARD_RENEWAL
MTNAD-DHR-DAILY,v1,MTNAD-V1,freeze 7deabd8,20-day extreme-refresh age asymmetry (days since 20d-high vs 20d-low refresh) -> next-day open-to-close continuation toward fresh side,daily RTH OHLC from 1m grid,MNQ daily open->close,ARd=(DL-DH)/(DL+DH) causal quintile tails known at prior close,both,0.87-1.305pt; no stop (day cell),neighbors q75/q85+q25/q15 open+30m frozen,1812 evaluations,726 trades,726,C8 dead (-0.34 stressed p .48); C7 near-miss: +15.72 stressed PF 1.37 p .0066 BUT BH q 0.0528 + years 5/7 (2020/2024 negative; 2026 = 46% of profit) + only 41.5% of weeks active,closest nonqualifying candidate of the wave; frozen protocol forbids rescue - no prospective freeze (failed substantive gates unlike STREAK3DN n-floor),DEAD_FROZEN,DURATION_HAZARD_RENEWAL
RNVP-RNL,v1,RNVP-V1,freeze 87b81d8,exogenous 100-pt round-number grid: fade first touch (R1/R2) and trade decisive break with 5-pt buffer (R3/R4) after 60m no-interaction window,price-modulo grid arithmetic on 1m OHLCV,MNQ RTH 631-900 triggers,first-touch reject (high>=L close<L) / first-break (close>=L+5) per frozen definitions; next-1m-open entry; 3xATR20 stop; 60m exit,both arms both directions,0.87-1.305pt; stop-first race; gap-through worse,W 30/120 eps 2.5/10 delay+1 exits 45/90 frozen,2232 triggers,2075 trades,~1800,all 4 cells positive stressed (+0.59 to +3.94) BUT p 0.14-0.29 BH q>=0.52 PF<=1.14; single-year domination (R1 2025=186% R3 2019=209%); all fail top-1% removal (tail-driven),only wave with every cell above water - weak grid effect not resolvable from noise at MNQ costs on 7y; break cells also fail frequency,DEAD_FROZEN,ROUND_NUMBER_GRID
RNVP-VTP,v1,RNVP-V1,freeze 87b81d8,morning total-volume participation surprise (S=Vam/20d norm at 12:00) x morning direction -> afternoon continuation (S>=q70) or reversion (S<=q30),raw 1m volume + price from canonical grid,MNQ RTH 12:00->close,causal q70/q30 tails of S known at 12:00; entry next 1m open; exit RTH close; no stop,continuation and reversion arms,0.87-1.305pt,q60/q80 q40/q20 delay-to-12:30 frozen,1598 thresholded days,930 trades,930,V1/V2 continuation dead (-0.44/-2.28 stressed p>=0.46); V3/V4 reversion strongly negative (-7.6/-6.7 p>=0.74) all neighbors negative,raw volume carries no afternoon-direction information; fading quiet mornings is among the worst trades ever tested here,DEAD_FROZEN,VOLUME_TIME_PARTICIPATION
MROF-YT-OF01-WAVE,v1,MROF-YT-OF-01,freeze analysis/mrofyt/MROF_YT_OF01_WAVE_FREEZE.md + source prompt sha256 7b710b1d,transcript-audited tape-scalping wave: A1-A6 event-tier order-flow families + B1-B4 conditional management + PSY module at frozen level hierarchy,event-level trades+BBO+10-level depth (MLES capture) - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,frozen verbatim in archived source prompt; engine+59 fixture tests delivered,both,150ms latency; stop=extreme+max(2t;0.1xATR); 2R; 10s invalidation; 30m cap,frozen; Romano-Wolf alpha .05 governs event-tier promotions,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; wave FROZEN-AWAITING-DATA; runs exactly as frozen when State-C readiness passes,RESERVED_UNTOUCHED,-
MROF-YT-OF01.1-WAVE,v1.1-successor,MROF-YT-OF-01.1,successor freeze analysis/mrofyt/MROF_YT_OF01_1_SUCCESSOR_FREEZE.md + source sha256 76624b82; predecessor f99c521 immutable (hashes pinned + tested),additive modules: causal H1 supply/demand-zone context (base+displacement; lifecycle; one family vote; experimental) + key-level wall hold-vs-flush state machine (9 states; armed never enters; confirmed maps to A1-A4/A6 only) + features 24-29 (clearance dynamics; post-clear reserve; quote migration; large-print polarity) + ablations 19-28,event-level trades+BBO+depth + certified front-contract hourly bars - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,frozen verbatim in archived successor prompt; 56/56 new deterministic tests; predecessor 59/59 unchanged,both,unchanged from predecessor (150ms; stop=extreme+max(2t;0.1ATR); 2R; 10s; 30m cap),frozen; Romano-Wolf alpha .05 cumulative,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; H1_ZONE_UNVERIFIED_CONTEXT + PSY_NQ_UNVERIFIED on historical continuous data; probabilities shadow-only,RESERVED_UNTOUCHED,-
MROF-YT-OF01.2-WAVE,v1.2-successor,MROF-YT-OF-01.2,successor freeze analysis/mrofyt/MROF_YT_OF01_2_SUCCESSOR_FREEZE.md; predecessors f99c521+0bf0ec5 immutable (8 hashes pinned+tested); final-prompt hash 74ff9a99 user-supplied (file not held),uncapped independent-setup coordinator (immutable episode IDs; no trade-count cap; while-flat gating; overlap/duplicate/conflict/risk/data/missed suppression; frozen 60s-or-4-tick re-arm) + 9 pre-outcome spec repairs (strict 20-session baselines; in-formation H1 contract/alignment; no cross-roll zones; liquidity-aware partial/missed fills; absolute 30m-cap precedence; bounded adverse-share + polarity rename; direct A5 tests; bit-for-bit toggle-off parity; in-engine wall eligibility/dedup),event-level trades+BBO+depth - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,31/31 new deterministic tests; predecessor suites 59/59 + 56/56 unchanged; engine 42/42,both,unchanged (150ms; 3xstop rules; 2R; 10s; 30m cap),frozen; Romano-Wolf alpha .05 cumulative,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; recorder deployment audited but NOT complete (user-side attachment pending),RESERVED_UNTOUCHED,-
MROF-YT-OF01.3-WAVE,v1.3-successor,MROF-YT-OF-01.3,successor freeze analysis/mrofyt/MROF_YT_OF01_3_SUCCESSOR_FREEZE.md; predecessors f99c521+0bf0ec5+3aa0f61 immutable (13 hashes pinned+tested); FINAL prompt archived hash-VERIFIED 74ff9a99,final-prompt-exact coordinator superseding two invented v01.2 rules: deterministic callback-order-independent SETUP_EPISODE_IDs; NO time cooldown (2-tick retreat/new-approach for wall families; band exit+re-entry otherwise; conditions reform from later data); exact-timestamp tie groups (agreeing=one tagged position lowest-family precedence; opposing=no fill/no TRADE_OPENED); event-driven liquidity (repeated quote is not new liquidity); strict 20-session baselines everywhere; calendar-validated H1 windows; wall-episode identity with side (opposite sides never merge); completed deployment/handoff runbooks,event-level trades+BBO+depth - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,32/32 adversarial tests incl. final-prompt (a)-(i); lineage suites 59/59+56/56+31/31 unchanged,both,unchanged (150ms; frozen stops; 2R; 10s; 30m cap),frozen; Romano-Wolf alpha .05 cumulative,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; recorder deployment runbook complete but attachment pending (user-side),RESERVED_UNTOUCHED,-
MROF-YT-OF01.4-WAVE,v1.4-successor,MROF-YT-OF-01.4,successor freeze analysis/mrofyt/MROF_YT_OF01_4_SUCCESSOR_FREEZE.md; predecessors f99c521+0bf0ec5+3aa0f61+4f821f1 immutable (19 hashes pinned+tested),engine-boundary layer: SignalGroupBuffer (exact completion-timestamp grouping before any fill; opposing separate callbacks = zero fills/no TRADE_OPENED) + CoordinatorV014 (re-arm only after terminal+flat; OVERLAP_SUPPRESSED permanently consumed; reset_t<formed_from_t<=signal_t causality gate; approach IDs created at approach begin and retained for every outcome; full episode ledger; frozen reset-type table not hardcoded family list) + first-executable-book fills (one snapshot; partial+cancel; hours-later quote never fills) + wired ResearchEngineV014 as sole executable path (import-graph tested) + hash-pinned review package for independent 42/42+15/15+read-only verification,event-level trades+BBO+depth - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,25/25 adversarial tests; lineage 59/59+56/56+31/31+32/32 unchanged; engine 42/42; closure 15/15,both,unchanged (150ms; frozen stops; 2R; 10s; 30m cap; uncapped-valid-setup policy),frozen; Romano-Wolf alpha .05 cumulative,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA,RESERVED_UNTOUCHED,-
MLES-CAPTURE-1.1,v1.1-recorder,MLES-CAPTURE-1.1,freeze analysis/mrofyt/MLES_CAPTURE_V11_FREEZE.md; predecessor recorder MLES-CAPTURE-1.0.0 (c40f39a) untouched and hash-pinned,additive recorder successor: runId+segId+exact contract+session in every row and path; restart mints new runId and its own manifest; .partial to atomic finalize; finalized files never appended and manifests never overwritten (.collision-N); one globally monotonic eventSeq via atomic counter across quote/trade/depth/connection/quality with per-stream seq secondary; single ordered writer thread; both clocks ISO-8601; queue overflow/dropped/write-error counters; complete manifests incl. depth side and action counts,no data captured yet (0 sessions),NQ + MNQ separate books; ES optional,C# syntax-verified with mcs against NT8 stubs (exit 0); NT8 F5 compile and Market Replay smoke test NOT RUN (no NinjaTrader/feed in environment),n/a,n/a,n/a,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; deployment remains user-side,RESERVED_UNTOUCHED,-
MROF-YT-OF01.5-WAVE,v1.5-successor,MROF-YT-OF-01.5,successor freeze analysis/mrofyt/MROF_YT_OF01_5_SUCCESSOR_FREEZE.md; predecessors f99c521+0bf0ec5+3aa0f61+4f821f1+8cdacfd immutable (23 hashes pinned+tested),canonical MLES-1.1 ingestion adapter (ISO-8601 without float; enum normalization; unknown enums rejected) + manifest-authoritative integrity audit (hash/size/row/schema/run/contract/session; FAIL on gap/dup/reversal/mixed-run/mixed-contract/missing-stream/hash-mismatch/malformed-header; NQ+MNQ required ES optional; depth side and action coverage; restart and contract-roll collision detection) + CoordinatorV015 (open-position checked before consumed/rearm so every valid in-trade signal is OVERLAP_SUPPRESSED; adjudicated occurrences consumed and never retried from stale data; approach IDs minted at the price event; union of level IDs/families/signal families; exact-time buffering that a same-time price callback cannot flush; conflicts produce zero fill/zero position/no TRADE_OPENED) wired as the sole executable entrypoint with import-graph proof,event-level trades+BBO+depth - DOES NOT EXIST YET (0 sessions),NQ signal / MNQ execution 0930-1130 ET,29/29 MLES-1.1 + 36/36 v01.5 adversarial incl. literal recorder-format end-to-end; lineage 59+56+31+32+25 unchanged; engine 42/42; closure 15/15; TOTAL 325/325,both,unchanged (A1-A6 thresholds; frozen reset types; 150ms; 2R; 10s; 30m cap; uncapped-valid-setup policy),frozen; Romano-Wolf alpha .05 cumulative,0 events,0,0,none - no outcome computed or computable,classification INSUFFICIENT_DATA; NT8 F5 compile and Market Replay smoke test NOT RUN (environment lacks NinjaTrader),RESERVED_UNTOUCHED,-
